PRES,HGHT,TEMP,DWPT,RELH,MIXR,DRCT,SPED,THTA,THTE,THTV
754.0,2520.0,-0.4,-8.8,53.0,2.61,342.0,5.8,295.6,303.7,296.1
749.3,2568.0,-0.8,-4.8,74.0,3.56,341.0,5.9,295.8,306.6,296.4
743.1,2633.0,-1.2,-4.4,78.0,3.7,340.0,5.1,296.0,307.2,296.7
730.2,2764.0,-2.0,-5.6,77.0,3.45,333.0,3.7,296.6,307.1,297.2
725.3,2817.0,-2.3,-5.6,78.0,3.47,326.0,3.7,296.8,307.4,297.5
722.5,2845.0,-2.3,-6.8,71.0,3.17,323.0,3.6,297.2,306.9,297.8
700.7,3084.0,-3.8,-9.7,63.0,2.61,347.0,3.8,298.2,306.3,298.6
700.0,3091.0,-3.8,-9.7,64.0,2.61,347.0,3.9,298.2,306.3,298.7
698.2,3111.0,-4.0,-9.7,64.0,2.62,348.0,4.2,298.3,306.4,298.7
675.0,3376.0,-5.8,-10.3,71.0,2.59,317.0,5.6,299.2,307.2,299.6
671.2,3419.0,-5.3,-9.9,70.0,2.68,311.0,4.9,300.2,308.6,300.7
670.2,3431.0,-4.5,-10.2,64.0,2.62,310.0,4.6,301.2,309.5,301.7
668.8,3448.0,-2.6,-14.3,40.0,1.89,309.0,4.3,303.5,309.6,303.9
667.4,3465.0,-1.9,-19.0,26.0,1.28,309.0,3.9,304.5,308.7,304.7
666.4,3477.0,-1.5,-23.0,18.0,0.91,309.0,3.8,305.0,308.1,305.2
664.9,3494.0,-1.4,-26.9,12.0,0.63,310.0,3.5,305.3,307.5,305.5
